ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin,ID site
,simple,3346320,World fucking peace or the stigma of finitude shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/World-fucking-peace-or-the-stigma-of-finitude-shirt.jpg, https://images.serenashirt.com/2025/05/World-fucking-peace-or-the-stigma-of-finitude-hoodie.jpg, https://images.serenashirt.com/2025/05/World-fucking-peace-or-the-stigma-of-finitude-sweater.jpg, https://images.serenashirt.com/2025/05/World-fucking-peace-or-the-stigma-of-finitude-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623160
,simple,3346338,World fucking peace leprous glory and a crown of spit shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/World-fucking-peace-leprous-glory-and-a-crown-of-spit-shirt.jpg, https://images.serenashirt.com/2025/05/World-fucking-peace-leprous-glory-and-a-crown-of-spit-hoodie.jpg, https://images.serenashirt.com/2025/05/World-fucking-peace-leprous-glory-and-a-crown-of-spit-sweater.jpg, https://images.serenashirt.com/2025/05/World-fucking-peace-leprous-glory-and-a-crown-of-spit-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623169
,simple,3346344,My best friend is a witch shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/My-best-friend-is-a-witch-shirt.jpg, https://images.serenashirt.com/2025/05/My-best-friend-is-a-witch-hoodie.jpg, https://images.serenashirt.com/2025/05/My-best-friend-is-a-witch-sweater.jpg, https://images.serenashirt.com/2025/05/My-best-friend-is-a-witch-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623172
,simple,3346350,Cat man evolution shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Cat-man-evolution-shirt.jpg, https://images.serenashirt.com/2025/05/Cat-man-evolution-hoodie.jpg, https://images.serenashirt.com/2025/05/Cat-man-evolution-sweater.jpg, https://images.serenashirt.com/2025/05/Cat-man-evolution-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623175
,simple,3346360,Xephos camp yog 25 logo shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Xephos-camp-yog-25-logo-shirt.jpg, https://images.serenashirt.com/2025/05/Xephos-camp-yog-25-logo-hoodie.jpg, https://images.serenashirt.com/2025/05/Xephos-camp-yog-25-logo-sweater.jpg, https://images.serenashirt.com/2025/05/Xephos-camp-yog-25-logo-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623180
,simple,3346364,Ready or not opsec graphic shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Ready-or-not-opsec-graphic-shirt.jpg, https://images.serenashirt.com/2025/05/Ready-or-not-opsec-graphic-hoodie.jpg, https://images.serenashirt.com/2025/05/Ready-or-not-opsec-graphic-sweater.jpg, https://images.serenashirt.com/2025/05/Ready-or-not-opsec-graphic-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623182
,simple,3346384,Peace be with you shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Peace-be-with-you-shirt.jpg, https://images.serenashirt.com/2025/05/Peace-be-with-you-hoodie.jpg, https://images.serenashirt.com/2025/05/Peace-be-with-you-sweater.jpg, https://images.serenashirt.com/2025/05/Peace-be-with-you-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623192
,simple,3346388,SesSanta tour Virginia beach va May 11 2025 shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/SesSanta-tour-Virginia-beach-va-May-11-2025-shirt.jpg, https://images.serenashirt.com/2025/05/SesSanta-tour-Virginia-beach-va-May-11-2025-hoodie.jpg, https://images.serenashirt.com/2025/05/SesSanta-tour-Virginia-beach-va-May-11-2025-sweater.jpg, https://images.serenashirt.com/2025/05/SesSanta-tour-Virginia-beach-va-May-11-2025-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623194
,simple,3346392,Narrow head typewriter shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Narrow-head-typewriter-shirt.jpg, https://images.serenashirt.com/2025/05/Narrow-head-typewriter-hoodie.jpg, https://images.serenashirt.com/2025/05/Narrow-head-typewriter-sweater.jpg, https://images.serenashirt.com/2025/05/Narrow-head-typewriter-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623196
,simple,3346448,Robert Prevost Faith and Hope shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/QJn6paPz-Robert-Prevost-Faith-and-Hope-shirt.jpg, https://images.serenashirt.com/2025/05/4WVnQWao-Robert-Prevost-Faith-and-Hope-hoodie.jpg, https://images.serenashirt.com/2025/05/owE7Qyws-Robert-Prevost-Faith-and-Hope-sweater.jpg, https://images.serenashirt.com/2025/05/q1TUaTq4-Robert-Prevost-Faith-and-Hope-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623224
